month,Fastweb,TIM,Vodafone,WindTre,Iliad
2018-01,55.3364,93.2716,82.5739,78.1521,
2018-02,55.4519,93.7528,84.5525,80.7477,
2018-03,60.3301,94.5534,82.5375,78.934,
2018-04,62.0118,94.7288,85.2571,82.71,
2018-05,60.6787,93.4842,86.5107,81.0203,
2018-06,57.1326,92.7238,83.9618,77.2419,
2018-07,56.8857,92.4489,84.0297,79.7126,30.9184
2018-09,58.149,92.0711,84.9217,78.9735,41.7075
2018-10,57.4516,92.0338,85.1458,78.9126,44.5188
2018-11,59.6089,95.5129,83.9695,79.9885,43.9888
2018-12,56.7412,92.6948,84.0872,79.7352,46.0543
2019-01,65.3956,94.0977,85.9252,81.6578,47.2549
2019-02,66.1603,95.2762,88.4382,82.2866,48.4794
2019-03,61.3038,94.3052,85.3605,76.9869,45.9082
2019-04,56.1009,92.8632,84.5958,79.9173,47.9042
2019-05,54.8118,93.8898,84.1569,77.801,49.6047
2019-06,57.1917,90.8716,83.1855,77.8628,48.8048
2019-07,57.1821,92.8399,85.9706,79.0937,53.4653
2019-09,60.4847,92.4615,86.0958,79.3049,54.7
2019-10,58.6764,93.2147,85.6269,77.373,55.6886
2019-11,56.3481,94.5394,85.7516,81.3602,54.1833
2019-12,59.5278,93.3083,85.7206,80.8782,59.9
2020-01,60.5584,92.7162,84.1096,77.3537,50.8
2020-02,58.1117,94.1111,86.381,75.7021,55.0
2020-03,63.5019,94.1624,85.5855,81.5828,54.9801
2020-04,59.9546,93.2387,86.862,84.5274,55.9
2020-05,55.171,92.9741,84.4612,83.0688,49.6
2020-06,61.1935,92.7659,84.4925,84.6012,56.705
2020-07,56.809,91.8773,85.2057,80.8917,61.2
2020-09,61.4438,92.9677,85.0911,82.3981,53.6
2020-10,56.2492,94.3138,87.0915,83.249,52.0958
2020-11,64.4328,94.0245,85.9366,81.4354,54.6351
2020-12,60.3077,92.7162,84.6273,80.3702,48.4
2021-01,63.3457,91.6621,84.2569,82.6567,46.6
2021-02,64.9783,93.3634,85.4921,81.8055,49.1569
2021-03,64.324,92.6859,86.0852,81.1546,47.4
2021-04,60.545,92.5044,85.7471,80.6273,49.5
2021-05,59.5756,91.4765,83.0432,78.224,45.3
2021-06,63.1329,92.1663,84.1048,81.445,50.5
2021-07,53.5673,90.7232,80.5718,75.3987,47.9
2021-09,53.5858,91.2475,83.6369,75.9384,50.8
2021-10,52.7043,92.7807,80.4417,74.2247,49.3
2021-11,52.9476,91.2381,84.0432,75.5552,50.9
2021-12,53.4622,91.3525,80.364,77.454,47.5
2022-01,48.8578,92.2073,82.2213,77.2851,47.848
2022-02,51.1635,90.7982,81.8477,74.0997,52.9792
2022-03,50.6107,90.5327,81.4492,73.1979,48.5984
2022-04,49.439,88.9145,81.4152,73.5794,52.9648
2022-05,48.8504,90.4091,81.4182,75.6811,49.7936
2022-06,47.7747,90.0273,83.4741,75.6395,48.3936
2022-07,49.736,89.5891,82.333,73.3789,50.848
2022-09,49.5765,89.4364,80.5979,72.2957,50.7648
2022-10,55.3794,91.5327,80.4802,71.3488,48.408
2022-11,52.2623,90.8455,81.8726,76.1072,47.616
2022-12,54.105,88.0018,81.7314,74.4054,47.0688
2023-01,44.7515,88.4031,81.4442,73.1734,44.5128
2023-02,48.9707,91.3193,80.2378,75.1878,44.5831
2023-03,45.4487,88.7762,79.4682,73.8264,45.8819
2023-04,45.3456,89.9283,79.0669,73.8806,43.3463
2023-05,46.3156,89.5343,76.6099,69.9388,44.572
2023-06,45.8943,88.8059,77.9024,72.2564,44.9496
2023-07,46.3439,87.6567,77.4707,69.642,46.5128
2023-09,47.0696,87.1105,79.1821,71.1094,46.2818
2023-10,48.583,88.6657,80.0973,73.3146,47.5154
2023-11,44.7985,89.1433,80.3251,72.9002,46.2003
2023-12,45.698,87.206,78.5555,70.876,45.7779
2024-01,47.2177,84.6175,77.0288,69.8977,51.7292
2024-02,48.5434,83.8256,76.5588,65.9485,51.7565
2024-03,50.2882,85.646,76.8756,68.7366,51.6424
2024-04,53.2811,83.9357,76.6502,67.2008,50.2075
2024-05,52.4728,84.7565,76.2402,67.9324,56.5098
2024-06,48.3735,83.211,75.8542,67.4376,51.0184
2024-07,49.6666,84.1907,73.9486,67.1921,54.1866
2024-08,51.4291,82.5432,72.6788,67.1869,51.3611
2024-09,50.099,82.4368,73.2988,65.0662,54.9063
2024-10,50.7477,82.1726,73.6671,65.93,52.3307
2024-11,50.0342,82.6571,70.4366,64.7272,53.426
2024-12,50.9143,81.2875,72.0241,64.8503,51.9405
2025-01,55.1255,82.1153,72.4108,66.1975,50.0185
2025-02,52.6951,82.4706,74.4604,63.7486,53.893
2025-03,51.0095,82.104,72.4581,62.874,50.9586
2025-04,50.5252,81.8379,74.0052,64.3327,52.0221
2025-05,51.6191,81.0044,70.0979,61.725,51.3926
2025-06,52.4342,79.7132,69.8351,64.2312,52.4497
2025-07,53.1016,82.6448,70.6022,65.0976,53.1985
2025-08,53.8909,82.6606,71.9238,64.1675,48.2908
2025-09,51.4903,82.8035,70.664,64.3222,51.8663
2025-10,54.5212,80.0612,70.2638,64.6426,48.397
2025-11,57.0405,82.0407,70.982,65.2902,52.0324
2025-12,51.4393,79.9512,68.5925,61.5425,48.4459
2026-01,52.6569,80.1245,71.1375,65.0241,52.094
2026-02,53.8744,81.7324,71.9912,60.4409,47.8928
2026-03,56.4726,80.192,66.7025,66.0049,48.8909
2026-04,56.1362,78.0925,65.4295,61.2923,43.6045
2026-05,57.2225,80.3925,68.292,63.5919,49.2932
2026-06,58.2943,80.7266,68.4055,58.5758,45.259
2026-07,51.6589,76.0152,66.4328,62.0832,50.2126
